Energy Unpiled Piled
8.8100004196167 0 0
8.819999694824219 0 0
8.829999923706055 0 0
8.84000015258789 0 0
8.850000381469727 0 0
8.859999656677246 0 0
8.869999885559082 0 0
8.880000114440918 0 0
8.890000343322754 0 0
8.899999618530273 0 0
8.90999984741211 0 0
8.920000076293945 0 0
8.930000305175781 0 0
8.9399995803833 0 0
8.949999809265137 0 0
8.960000038146973 0 0
8.970000267028809 0 0
8.979999542236328 0 0
8.989999771118164 0 0
9.0 0 0
9.010000228881836 0 0
9.020000457763672 0 0
9.029999732971191 0 0
9.039999961853027 0 0
9.050000190734863 0 0
9.0600004196167 0 0
9.069999694824219 0 0
9.079999923706055 0 0
9.09000015258789 0 0
9.100000381469727 0 0
9.109999656677246 0 0
9.119999885559082 0 0
9.130000114440918 0 0
9.140000343322754 0 0
9.149999618530273 0 0
9.15999984741211 0 0
9.170000076293945 0 0
9.180000305175781 0 0
9.1899995803833 0 0
9.199999809265137 0 0
9.210000038146973 0 0
9.220000267028809 0 0
9.229999542236328 0 0
9.239999771118164 0 0
9.25 0 0
9.260000228881836 0 0
9.270000457763672 0 0
9.279999732971191 0 0
9.289999961853027 1 0
9.300000190734863 0 0
9.3100004196167 0 0
9.319999694824219 0 0
9.329999923706055 0 0
9.34000015258789 0 0
9.350000381469727 0 0
9.359999656677246 0 0
9.369999885559082 0 0
9.380000114440918 0 0
9.390000343322754 0 0
9.399999618530273 0 0
9.40999984741211 0 0
9.420000076293945 0 0
9.430000305175781 0 0
9.4399995803833 0 0
9.449999809265137 0 0
9.460000038146973 0 0
9.470000267028809 0 0
9.479999542236328 0 0
9.489999771118164 0 0
9.5 0 0
9.510000228881836 0 0
9.520000457763672 0 0
9.529999732971191 0 0
9.539999961853027 0 0
9.550000190734863 0 0
9.5600004196167 0 0
9.569999694824219 0 0
9.579999923706055 0 0
9.59000015258789 0 0
9.600000381469727 0 0
9.609999656677246 0 0
9.619999885559082 0 0
9.630000114440918 0 0
9.640000343322754 0 0
9.649999618530273 0 0
9.65999984741211 1 1
9.670000076293945 0 1
9.680000305175781 0 0
9.6899995803833 0 0
9.699999809265137 0 1
9.710000038146973 1 1
9.720000267028809 0 0
9.729999542236328 0 0
9.739999771118164 0 0
9.75 0 0
9.760000228881836 0 0
9.770000457763672 0 0
9.779999732971191 0 0
9.789999961853027 0 0
9.800000190734863 0 0
9.8100004196167 0 0
9.819999694824219 0 0
